
PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV 
  971.0    313   22.2   13.2     57   9.91    120      7  297.8  326.9  299.6
  957.0    440   21.8   11.8     53   9.16    126     11  298.7  325.7  300.3
  938.6    610   20.5   11.7     57   9.27    135     17  299.1  326.5  300.7
  925.0    737   19.6   11.6     60   9.35    140     18  299.3  327.0  301.0
  914.0    840   19.0   11.0     60   9.09    163     18  299.8  326.7  301.4
  906.2    914   19.8   10.0     53   8.60    180     18  301.4  327.1  302.9
  901.0    963   20.4    9.4     49   8.28    182     18  302.4  327.4  303.9
  893.0   1041   23.4    3.4     27   5.50    186     18  306.3  323.4  307.3
  886.0   1109   23.4    3.4     27   5.54    190     18  307.0  324.3  308.0
  874.9   1219   22.6    2.9     27   5.42    195     18  307.3  324.2  308.3
  850.0   1469   20.8    1.8     28   5.15    200     13  307.9  324.1  308.9
  814.8   1829   17.8   -0.3     29   4.60    205     15  308.5  323.1  309.4
  786.2   2134   15.3   -2.1     30   4.17    250     10  309.0  322.3  309.8
  767.0   2344   13.6   -3.4     31   3.90    250     12  309.3  321.8  310.1
  758.4   2438   12.7   -3.5     32   3.92    250     13  309.4  321.9  310.1
  731.2   2743    9.8   -3.8     38   3.98    230     17  309.4  322.1  310.1
  726.0   2803    9.2   -3.8     40   4.00    230     19  309.4  322.2  310.1
  700.0   3104    8.2  -16.8     15   1.47    230     30  311.5  316.6  311.8
  698.0   3128    8.2  -17.8     14   1.36    230     30  311.8  316.4  312.1
  681.0   3331    6.8  -13.2     22   2.04    230     31  312.4  319.3  312.8
  675.0   3403    6.6  -15.4     19   1.72    230     32  313.0  318.8  313.3
  653.9   3658    4.4  -15.3     22   1.79    230     33  313.3  319.4  313.7
  606.0   4267   -1.0  -15.1     33   1.96    220     35  314.1  320.7  314.4
  561.6   4877   -6.3  -14.9     51   2.15    230     38  314.6  321.9  315.1
  557.0   4943   -6.9  -14.9     53   2.17    231     38  314.7  322.0  315.1
  540.2   5182   -8.8  -13.6     69   2.50    235     39  315.2  323.5  315.6
  538.0   5214   -9.1  -13.4     71   2.54    235     40  315.2  323.7  315.7
  532.0   5301   -9.5  -11.6     85   2.97    235     41  315.8  325.6  316.3
  527.0   5374   -8.9  -10.0     92   3.41    235     42  317.3  328.6  318.0
  500.0   5780  -11.5  -12.8     90   2.87    235     49  318.9  328.6  319.5
  483.0   6045  -13.1  -14.5     89   2.59    239     52  320.1  329.0  320.7
  479.8   6096  -13.3  -15.2     85   2.46    240     53  320.5  328.9  321.0
  470.0   6252  -13.9  -17.4     75   2.09    239     56  321.7  328.9  322.1
  453.0   6532  -15.1  -19.2     71   1.86    237     61  323.6  330.1  323.9
  441.0   6734  -16.7  -20.4     73   1.72    235     65  324.0  330.1  324.4
  430.0   6924  -17.7  -23.7     59   1.32    234     69  325.1  329.9  325.4
  411.0   7260  -20.7  -22.8     83   1.50    231     75  325.5  330.8  325.8
  400.0   7460  -22.3  -24.0     86   1.38    230     79  325.9  330.9  326.2
  397.0   7515  -22.7  -24.7     84   1.31    230     80  326.1  330.8  326.4
  391.3   7620  -23.4  -25.7     81   1.21    230     82  326.5  330.9  326.8
  381.0   7815  -24.7  -27.6     77   1.05    229     82  327.3  331.2  327.5
  377.0   7892  -24.5  -26.5     83   1.17    228     81  328.6  332.9  328.8
  365.0   8126  -25.9  -28.0     82   1.05    227     81  329.8  333.7  330.0
  357.0   8286  -27.3  -29.0     85   0.98    226     81  330.0  333.6  330.2
  351.0   8407  -28.1  -31.4     73   0.79    225     80  330.5  333.5  330.7
  324.0   8975  -32.9  -37.9     61   0.45    221     79  331.5  333.3  331.6
  316.2   9144  -34.4  -39.7     58   0.39    220     79  331.8  333.3  331.9
  300.0   9510  -37.5  -43.5     53   0.27    220     80  332.4  333.5  332.5
  297.0   9579  -38.1  -43.1     59   0.29    220     80  332.5  333.7  332.6
  289.5   9754  -39.6  -44.3     61   0.26    220     80  332.8  333.8  332.8
  274.0  10128  -42.9  -47.0     64   0.20    224     83  333.3  334.1  333.4
  268.0  10277  -43.7  -52.7     36   0.11    225     85  334.3  334.7  334.3
  265.0  10352  -44.1  -55.1     28   0.08    226     85  334.8  335.1  334.8
  256.0  10583  -45.9  -58.9     22   0.05    228     88  335.4  335.6  335.4
  250.0  10740  -47.3  -58.3     27   0.06    230     89  335.6  335.9  335.6
  243.0  10928  -49.1  -58.1     34   0.06    232     91  335.6  335.9  335.7
  224.0  11458  -53.5  -62.5     32   0.04    236     98  336.8  337.0  336.8
  209.5  11887  -56.7  -63.2     44   0.04    240    104  338.3  338.4  338.3
  208.0  11932  -57.1  -63.2     45   0.04    240    104  338.4  338.6  338.4
  207.0  11963  -57.3  -63.3     46   0.04    240    103  338.5  338.7  338.5
  
