 00Z 01 01 2017,  0.00,  1.98
 12Z 01 01 2017,  0.00,  3.37
 00Z 02 01 2017,  0.00,  3.12
 12Z 02 01 2017,  0.00,  3.15
 00Z 03 01 2017,  0.00,  3.00
 12Z 03 01 2017,  0.00,  2.90
 00Z 04 01 2017,  0.00,  2.29
 12Z 04 01 2017,  0.00,  2.00
 00Z 05 01 2017,  0.00,  2.80
 12Z 05 01 2017,  0.00,  2.17
 00Z 06 01 2017,  0.00,  1.55
 12Z 06 01 2017,  0.00,  1.83
 00Z 07 01 2017,  0.00,  1.80
 12Z 07 01 2017,  0.00,  1.07
 00Z 08 01 2017,  0.00,  0.75
 12Z 08 01 2017,  0.00,  1.06
 00Z 09 01 2017,  0.00,  1.20
 12Z 09 01 2017,  0.00,  1.25
 00Z 10 01 2017,  0.00,  1.38
 12Z 10 01 2017,  0.00,  1.43
 00Z 11 01 2017,  0.00,  1.47
 12Z 11 01 2017,  0.00,  1.30
 00Z 12 01 2017,  0.00,  1.35
 12Z 12 01 2017,  0.00,  1.39
 00Z 13 01 2017,  0.00,  1.24
 12Z 13 01 2017,  0.00,  1.21
 00Z 14 01 2017,  0.00,  1.55
 12Z 14 01 2017,  0.00,  1.46
 00Z 15 01 2017,  0.00,  1.62
 12Z 15 01 2017,  0.00,  1.35
 00Z 16 01 2017,  0.00,  1.31
 12Z 16 01 2017,  0.00,  3.72
 00Z 17 01 2017,  0.00,  8.18
 12Z 17 01 2017,  0.00,  8.86
 00Z 18 01 2017,  0.00,  5.83
 12Z 18 01 2017,  0.00,  2.52
 00Z 19 01 2017,  0.00,  5.08
 12Z 19 01 2017,  0.00,  7.53
 00Z 20 01 2017,  0.00,  8.25
 12Z 20 01 2017,  0.00,  7.92
 00Z 21 01 2017,  0.00,  7.94
 12Z 21 01 2017,  0.00,  10.95
 00Z 22 01 2017,  0.00,  11.85
 12Z 22 01 2017,  0.00,  9.73
 00Z 23 01 2017,  0.00,  3.43
 12Z 23 01 2017,  0.00,  1.10
 00Z 24 01 2017,  0.00,  0.99
 12Z 24 01 2017,  0.00,  3.95
 00Z 25 01 2017,  0.00,  6.16
 12Z 25 01 2017,  0.00,  4.69
 00Z 26 01 2017,  0.00,  5.63
 12Z 26 01 2017,  0.00,  3.70
 00Z 27 01 2017,  0.00,  3.47
 12Z 27 01 2017,  0.00,  3.77
 00Z 28 01 2017,  0.00,  2.87
 12Z 28 01 2017,  0.00,  1.81
 00Z 29 01 2017,  0.00,  0.88
 12Z 29 01 2017,  0.00,  1.57
 00Z 30 01 2017,  0.00,  1.71
 12Z 30 01 2017,  0.00,  1.28
 00Z 31 01 2017,  0.00,  1.75
 12Z 31 01 2017,  0.00,  0.99
 00Z 01 02 2017,  0.00,  1.88
 12Z 01 02 2017,  0.00,  2.73
 00Z 02 02 2017,  0.00,  2.06
 12Z 02 02 2017,  0.00,  2.65
 00Z 03 02 2017,  0.00,  3.12
 12Z 03 02 2017,  0.00,  3.02
 00Z 04 02 2017,  0.00,  2.90
 12Z 04 02 2017,  0.00,  2.24
 00Z 05 02 2017,  0.00,  1.85
 12Z 05 02 2017,  0.00,  2.57
 00Z 06 02 2017,  0.00,  2.09
 12Z 06 02 2017,  0.00,  1.64
 00Z 07 02 2017,  0.00,  2.00
 12Z 07 02 2017,  0.00,  1.80
 00Z 08 02 2017,  0.00,  1.71
 12Z 08 02 2017,  0.00,  0.94
